Question,Company
Maximum Product Subarray,Facebook
Find Minimum in Rotated Sorted Array,Facebook
Find Minimum in Rotated Sorted Array II,Facebook
Min Stack,Facebook
Read N Characters Given Read4,Facebook
Read N Characters Given Read4 II - Call multiple times,Facebook
Longest Substring with At Most Two Distinct Characters,Facebook
Intersection of Two Linked Lists,Facebook
One Edit Distance,Facebook
Find Peak Element,Facebook
Missing Ranges,Facebook
Fraction to Recurring Decimal,Facebook
Excel Sheet Column Title,Facebook
Excel Sheet Column Number,Facebook
Factorial Trailing Zeroes,Facebook
Binary Search Tree Iterator,Facebook
Second Highest Salary,Facebook
Rank Scores,Facebook
Largest Number,Facebook
Rotate Array,Facebook
Number of 1 Bits,Facebook
Binary Tree Right Side View,Facebook
Number of Islands,Facebook
Remove Linked List Elements,Facebook
Count Primes,Facebook
Isomorphic Strings,Facebook
Reverse Linked List,Facebook
Course Schedule,Facebook
Implement Trie (Prefix Tree),Facebook
Minimum Size Subarray Sum,Facebook
Course Schedule II,Facebook
Design Add and Search Words Data Structure,Facebook
Word Search II,Facebook
Shortest Palindrome,Facebook
Kth Largest Element in an Array,Facebook
The Skyline Problem,Facebook
Maximal Square,Facebook
Rectangle Area,Facebook
Basic Calculator,Facebook
Basic Calculator II,Facebook
Summary Ranges,Facebook
Majority Element II,Facebook
Kth Smallest Element in a BST,Facebook
Palindrome Linked List,Facebook
Lowest Common Ancestor of a Binary Search Tree,Facebook
Lowest Common Ancestor of a Binary Tree,Facebook
Delete Node in a Linked List,Facebook
Product of Array Except Self,Facebook
Sliding Window Maximum,Facebook
Search a 2D Matrix II,Facebook
Valid Anagram,Facebook
Strobogrammatic Number,Facebook
Strobogrammatic Number II,Facebook
Group Shifted Strings,Facebook
Meeting Rooms II,Facebook
Binary Tree Paths,Facebook
Single Number III,Facebook
Palindrome Permutation,Facebook
Missing Number,Facebook
Alien Dictionary,Facebook
Closest Binary Search Tree Value,Facebook
Closest Binary Search Tree Value II,Facebook
Integer to English Words,Facebook
Find the Celebrity,Facebook
First Bad Version,Facebook
Wiggle Sort,Facebook
Expression Add Operators,Facebook
Move Zeroes,Facebook
Peeking Iterator,Facebook
Inorder Successor in BST,Facebook
Walls and Gates,Facebook
Find the Duplicate Number,Facebook
Unique Word Abbreviation,Facebook
Game of Life,Facebook
Find Median from Data Stream,Facebook
Serialize and Deserialize Binary Tree,Facebook
Binary Tree Longest Consecutive Sequence,Facebook
Longest Increasing Subsequence,Facebook
Remove Invalid Parentheses,Facebook
Range Sum Query - Immutable,Facebook
Range Sum Query 2D - Immutable,Facebook
Number of Islands II,Facebook
Range Sum Query - Mutable,Facebook
Range Sum Query 2D - Mutable,Facebook
Best Time to Buy and Sell Stock with Cooldown,Facebook
Sparse Matrix Multiplication,Facebook
Burst Balloons,Facebook
Binary Tree Vertical Order Traversal,Facebook
Remove Duplicate Letters,Facebook
Shortest Distance from All Buildings,Facebook
Bulb Switcher,Facebook
Coin Change,Facebook
Number of Connected Components in an Undirected Graph,Facebook
Wiggle Sort II,Facebook
Maximum Size Subarray Sum Equals k,Facebook
Odd Even Linked List,Facebook
Longest Increasing Path in a Matrix,Facebook
Reconstruct Itinerary,Facebook
Largest BST Subtree,Facebook
Increasing Triplet Subsequence,Facebook
Palindrome Pairs,Facebook
Counting Bits,Facebook
Nested List Weight Sum,Facebook
Longest Substring with At Most K Distinct Characters,Facebook
Flatten Nested List Iterator,Facebook
Reverse String,Facebook
Reverse Vowels of a String,Facebook
Moving Average from Data Stream,Facebook
Top K Frequent Elements,Facebook
Design Tic-Tac-Toe,Facebook
Intersection of Two Arrays,Facebook
Intersection of Two Arrays II,Facebook
Data Stream as Disjoint Intervals,Facebook
Rearrange String k Distance Apart,Facebook
Nested List Weight Sum II,Facebook
Find K Pairs with Smallest Sums,Facebook
Kth Smallest Element in a Sorted Matrix,Facebook
Insert Delete GetRandom O(1),Facebook
Insert Delete GetRandom O(1) - Duplicates allowed,Facebook
Shuffle an Array,Facebook
First Unique Character in a String,Facebook
Longest Absolute File Path,Facebook
Is Subsequence,Facebook
Decode String,Facebook
Longest Substring with At Least K Repeating Characters,Facebook
Random Pick Index,Facebook
Evaluate Division,Facebook
Nth Digit,Facebook
Frog Jump,Facebook
Convert a Number to Hexadecimal,Facebook
Queue Reconstruction by Height,Facebook
Valid Word Abbreviation,Facebook
Split Array Largest Sum,Facebook
Third Maximum Number,Facebook
Add Strings,Facebook
Partition Equal Subset Sum,Facebook
Pacific Atlantic Water Flow,Facebook
Battleships in a Board,Facebook
Longest Repeating Character Replacement,Facebook
Convert Binary Search Tree to Sorted Doubly Linked List,Facebook
Serialize and Deserialize N-ary Tree,Facebook
Flatten a Multilevel Doubly Linked List,Facebook
All O`one Data Structure,Facebook
Non-overlapping Intervals,Facebook
Path Sum III,Facebook
Find All Anagrams in a String,Facebook
Find All Duplicates in an Array,Facebook
String Compression,Facebook
Add Two Numbers II,Facebook
Serialize and Deserialize BST,Facebook
Delete Node in a BST,Facebook
Minimum Number of Arrows to Burst Balloons,Facebook
Island Perimeter,Facebook
Validate IP Address,Facebook
Concatenated Words,Facebook
Sliding Window Median,Facebook
Robot Room Cleaner,Facebook
The Maze,Facebook
Increasing Subsequences,Facebook
Target Sum,Facebook
Next Greater Element I,Facebook
Diagonal Traverse,Facebook
Next Greater Element II,Facebook
The Maze II,Facebook
Fibonacci Number,Facebook
Find Largest Value in Each Tree Row,Facebook
Longest Palindromic Subsequence,Facebook
Continuous Subarray Sum,Facebook
Contiguous Array,Facebook
Random Pick with Weight,Facebook
Minesweeper,Facebook
Construct Binary Tree from String,Facebook
Single Element in a Sorted Array,Facebook
Diameter of Binary Tree,Facebook
Friend Circles,Facebook
Split Array with Equal Sum,Facebook
Binary Tree Longest Consecutive Sequence II,Facebook
Game Play Analysis IV,Facebook
Next Greater Element III,Facebook
Subarray Sum Equals K,Facebook
Permutation in String,Facebook
Maximum Vacation Days,Facebook
Subtree of Another Tree,Facebook
Valid Square,Facebook
Friend Requests I: Overall Acceptance Rate,Facebook
Can Place Flowers,Facebook
Find Duplicate File in System,Facebook
Valid Triangle Number,Facebook
Second Degree Follower,Facebook
Add Bold Tag in String,Facebook
Task Scheduler,Facebook
Design Circular Queue,Facebook
Exclusive Time of Functions,Facebook
Average of Levels in Binary Tree,Facebook
Palindromic Substrings,Facebook
Two Sum IV - Input is a BST,Facebook
Find K Closest Elements,Facebook
Maximum Width of Binary Tree,Facebook
Trim a Binary Search Tree,Facebook
Maximum Swap,Facebook
Longest Continuous Increasing Subsequence,Facebook
Implement Magic Dictionary,Facebook
Valid Parenthesis String,Facebook
24 Game,Facebook
Valid Palindrome II,Facebook
Next Closest Time,Facebook
Repeated String Match,Facebook
Maximum Sum of 3 Non-Overlapping Subarrays,Facebook
Top K Frequent Words,Facebook
Number of Distinct Islands,Facebook
Max Area of Island,Facebook
Partition to K Equal Sum Subsets,Facebook
Kth Largest Element in a Stream,Facebook
Design HashMap,Facebook
Insert into a Sorted Circular Linked List,Facebook
Max Stack,Facebook
Accounts Merge,Facebook
Candy Crush,Facebook
Find Pivot Index,Facebook
Flood Fill,Facebook
Closest Leaf in a Binary Tree,Facebook
Open the Lock,Facebook
Employee Free Time,Facebook
Partition Labels,Facebook
Toeplitz Matrix,Facebook
Reorganize String,Facebook
Basic Calculator III,Facebook
Sliding Puzzle,Facebook
Split BST,Facebook
Swim in Rising Water,Facebook
Is Graph Bipartite?,Facebook
Cheapest Flights Within K Stops,Facebook
Rotated Digits,Facebook
Custom Sort String,Facebook
Goat Latin,Facebook
Friends Of Appropriate Ages,Facebook
Making A Large Island,Facebook
Similar String Groups,Facebook
Backspace String Compare,Facebook
Peak Index in a Mountain Array,Facebook
Exam Room,Facebook
Mirror Reflection,Facebook
Buddy Strings,Facebook
All Nodes Distance K in Binary Tree,Facebook
Smallest Subtree with all the Deepest Nodes,Facebook
Koko Eating Bananas,Facebook
Uncommon Words from Two Sentences,Facebook
Possible Bipartition,Facebook
Super Egg Drop,Facebook
Monotonic Array,Facebook
Sort Array By Parity,Facebook
Maximum Sum Circular Subarray,Facebook
Minimum Add to Make Parentheses Valid,Facebook
Shortest Bridge,Facebook
Knight Dialer,Facebook
Stamping The Sequence,Facebook
Range Sum of BST,Facebook
Minimum Area Rectangle,Facebook
Verifying an Alien Dictionary,Facebook
Check Completeness of a Binary Tree,Facebook
Maximum Width Ramp,Facebook
Minimum Area Rectangle II,Facebook
Pancake Sorting,Facebook
K Closest Points to Origin,Facebook
Subarray Sums Divisible by K,Facebook
Squares of a Sorted Array,Facebook
Distribute Coins in Binary Tree,Facebook
Minimum Cost For Tickets,Facebook
Interval List Intersections,Facebook
Vertical Order Traversal of a Binary Tree,Facebook
Cousins in Binary Tree,Facebook
Minimum Number of K Consecutive Bit Flips,Facebook
Find the Town Judge,Facebook
Max Consecutive Ones III,Facebook
Construct Binary Search Tree from Preorder Traversal,Facebook
Next Greater Node In Linked List,Facebook
Maximum Difference Between Node and Ancestor,Facebook
Longest Arithmetic Subsequence,Facebook
Stream of Characters,Facebook
Remove All Adjacent Duplicates In String,Facebook
Previous Permutation With One Swap,Facebook
Shortest Way to Form String,Facebook
Campus Bikes,Facebook
Missing Element in Sorted Array,Facebook
Longest Repeating Substring,Facebook
Shortest Path in Binary Matrix,Facebook
Car Pooling,Facebook
Defanging an IP Address,Facebook
Lowest Common Ancestor of Deepest Leaves,Facebook
Reported Posts II,Facebook
N-th Tribonacci Number,Facebook
Longest Common Subsequence,Facebook
Snapshot Array,Facebook
As Far from Land as Possible,Facebook
Minimum Knight Moves,Facebook
Remove All Adjacent Duplicates in String II,Facebook
Intersection of Three Sorted Arrays,Facebook
Valid Palindrome III,Facebook
Path with Maximum Gold,Facebook
Remove Sub-Folders from the Filesystem,Facebook
Web Crawler Multithreaded,Facebook
Tree Diameter,Facebook
Minimum Remove to Make Valid Parentheses,Facebook
Number of Closed Islands,Facebook
Print Immutable Linked List in Reverse,Facebook
Minimum Time Visiting All Points,Facebook
Number of Ways to Stay in the Same Place After Some Steps,Facebook
Find Winner on a Tic Tac Toe Game,Facebook
Element Appearing More Than 25% In Sorted Array,Facebook
Find N Unique Integers Sum up to Zero,Facebook
All Elements in Two Binary Search Trees,Facebook
Angle Between Hands of a Clock,Facebook
Number of Days Between Two Dates,Facebook
Validate Binary Tree Nodes,Facebook
Find a Corresponding Node of a Binary Tree in a Clone of That Tree,Facebook
Number of Ways to Paint N × 3 Grid,Facebook
Diagonal Traverse II,Facebook
Leftmost Column with at Least a One,Facebook
Find the Kth Smallest Sum of a Matrix With Sorted Rows,Facebook
Make Two Arrays Equal by Reversing Sub-arrays,Facebook
Number of Subsequences That Satisfy the Given Sum Condition,Facebook
Shuffle String,Facebook
Kth Missing Positive Number,Facebook
Dot Product of Two Sparse Vectors,Facebook
Two Sum,Facebook
Add Two Numbers,Facebook
Longest Substring Without Repeating Characters,Facebook
Median of Two Sorted Arrays,Facebook
Longest Palindromic Substring,Facebook
ZigZag Conversion,Facebook
Reverse Integer,Facebook
String to Integer (atoi),Facebook
Palindrome Number,Facebook
Regular Expression Matching,Facebook
Container With Most Water,Facebook
Integer to Roman,Facebook
Roman to Integer,Facebook
Longest Common Prefix,Facebook
3Sum,Facebook
3Sum Closest,Facebook
Letter Combinations of a Phone Number,Facebook
Valid Parentheses,Facebook
Merge Two Sorted Lists,Facebook
Generate Parentheses,Facebook
Merge k Sorted Lists,Facebook
Swap Nodes in Pairs,Facebook
Remove Duplicates from Sorted Array,Facebook
Implement strStr(),Facebook
Divide Two Integers,Facebook
Substring with Concatenation of All Words,Facebook
Next Permutation,Facebook
Longest Valid Parentheses,Facebook
Search in Rotated Sorted Array,Facebook
Find First and Last Position of Element in Sorted Array,Facebook
Search Insert Position,Facebook
Valid Sudoku,Facebook
Sudoku Solver,Facebook
Two Sum,Microsoft
Add Two Numbers,Microsoft
Longest Substring Without Repeating Characters,Microsoft
Median of Two Sorted Arrays,Microsoft
Longest Palindromic Substring,Microsoft
ZigZag Conversion,Microsoft
Reverse Integer,Microsoft
String to Integer (atoi),Microsoft
Palindrome Number,Microsoft
Regular Expression Matching,Microsoft
Container With Most Water,Microsoft
Roman to Integer,Microsoft
Longest Common Prefix,Microsoft
3Sum,Microsoft
3Sum Closest,Microsoft
Letter Combinations of a Phone Number,Microsoft
4Sum,Microsoft
Remove Nth Node From End of List,Microsoft
Valid Parentheses,Microsoft
Merge Two Sorted Lists,Microsoft
Generate Parentheses,Microsoft
Merge k Sorted Lists,Microsoft
Swap Nodes in Pairs,Microsoft
Reverse Nodes in k-Group,Microsoft
Remove Duplicates from Sorted Array,Microsoft
Implement strStr(),Microsoft
Next Permutation,Microsoft
Longest Valid Parentheses,Microsoft
Search in Rotated Sorted Array,Microsoft
Find First and Last Position of Element in Sorted Array,Microsoft
Search Insert Position,Microsoft
Valid Sudoku,Microsoft
Sudoku Solver,Microsoft
Count and Say,Microsoft
Combination Sum,Microsoft
Combination Sum II,Microsoft
First Missing Positive,Microsoft
Trapping Rain Water,Microsoft
Multiply Strings,Microsoft
Wildcard Matching,Microsoft
Jump Game II,Microsoft
Permutations,Microsoft
Rotate Image,Microsoft
Group Anagrams,Microsoft
"Pow(x, n)",Microsoft
N-Queens,Microsoft
Maximum Subarray,Microsoft
Spiral Matrix,Microsoft
Jump Game,Microsoft
Merge Intervals,Microsoft
Spiral Matrix II,Microsoft
Rotate List,Microsoft
Unique Paths,Microsoft
Unique Paths II,Microsoft
Minimum Path Sum,Microsoft
Text Justification,Microsoft
Sqrt(x),Microsoft
Climbing Stairs,Microsoft
Edit Distance,Microsoft
Set Matrix Zeroes,Microsoft
Search a 2D Matrix,Microsoft
Sort Colors,Microsoft
Minimum Window Substring,Microsoft
Combinations,Microsoft
Subsets,Microsoft
Word Search,Microsoft
Remove Duplicates from Sorted List II,Microsoft
Remove Duplicates from Sorted List,Microsoft
Largest Rectangle in Histogram,Microsoft
Maximal Rectangle,Microsoft
Merge Sorted Array,Microsoft
Gray Code,Microsoft
Decode Ways,Microsoft
Reverse Linked List II,Microsoft
Restore IP Addresses,Microsoft
Binary Tree Inorder Traversal,Microsoft
Unique Binary Search Trees,Microsoft
Validate Binary Search Tree,Microsoft
Recover Binary Search Tree,Microsoft
Same Tree,Microsoft
Symmetric Tree,Microsoft
Binary Tree Level Order Traversal,Microsoft
Binary Tree Zigzag Level Order Traversal,Microsoft
Maximum Depth of Binary Tree,Microsoft
Construct Binary Tree from Preorder and Inorder Traversal,Microsoft
Construct Binary Tree from Inorder and Postorder Traversal,Microsoft
Convert Sorted Array to Binary Search Tree,Microsoft
Balanced Binary Tree,Microsoft
Path Sum II,Microsoft
Flatten Binary Tree to Linked List,Microsoft
Populating Next Right Pointers in Each Node,Microsoft
Populating Next Right Pointers in Each Node II,Microsoft
Pascal's Triangle,Microsoft
Best Time to Buy and Sell Stock,Microsoft
Best Time to Buy and Sell Stock II,Microsoft
Best Time to Buy and Sell Stock III,Microsoft
Binary Tree Maximum Path Sum,Microsoft
Valid Palindrome,Microsoft
Word Ladder II,Microsoft
Word Ladder,Microsoft
Longest Consecutive Sequence,Microsoft
Sum Root to Leaf Numbers,Microsoft
Palindrome Partitioning,Microsoft
Clone Graph,Microsoft
Gas Station,Microsoft
Candy,Microsoft
Single Number,Microsoft
Copy List with Random Pointer,Microsoft
Word Break,Microsoft
Word Break II,Microsoft
Linked List Cycle,Microsoft
Linked List Cycle II,Microsoft
Reorder List,Microsoft
Binary Tree Preorder Traversal,Microsoft
Binary Tree Postorder Traversal,Microsoft
LRU Cache,Microsoft
Sort List,Microsoft
Max Points on a Line,Microsoft
Evaluate Reverse Polish Notation,Microsoft
Reverse Words in a String,Microsoft
Maximum Product Subarray,Microsoft
Find Minimum in Rotated Sorted Array,Microsoft
Min Stack,Microsoft
Read N Characters Given Read4 II - Call multiple times,Microsoft
Longest Substring with At Most Two Distinct Characters,Microsoft
Intersection of Two Linked Lists,Microsoft
Find Peak Element,Microsoft
Compare Version Numbers,Microsoft
Fraction to Recurring Decimal,Microsoft
Excel Sheet Column Title,Microsoft
Majority Element,Microsoft
Excel Sheet Column Number,Microsoft
Binary Search Tree Iterator,Microsoft
Largest Number,Microsoft
Reverse Words in a String II,Microsoft
Repeated DNA Sequences,Microsoft
Rotate Array,Microsoft
House Robber,Microsoft
Binary Tree Right Side View,Microsoft
Number of Islands,Microsoft
Happy Number,Microsoft
Count Primes,Microsoft
Isomorphic Strings,Microsoft
Reverse Linked List,Microsoft
Course Schedule,Microsoft
Implement Trie (Prefix Tree),Microsoft
Minimum Size Subarray Sum,Microsoft
Course Schedule II,Microsoft
Word Search II,Microsoft
Shortest Palindrome,Microsoft
Kth Largest Element in an Array,Microsoft
Contains Duplicate,Microsoft
The Skyline Problem,Microsoft
Contains Duplicate II,Microsoft
Maximal Square,Microsoft
Count Complete Tree Nodes,Microsoft
Basic Calculator,Microsoft
Implement Stack using Queues,Microsoft
Invert Binary Tree,Microsoft
Basic Calculator II,Microsoft
Summary Ranges,Microsoft
Implement Queue using Stacks,Microsoft
Palindrome Linked List,Microsoft
Lowest Common Ancestor of a Binary Search Tree,Microsoft
Lowest Common Ancestor of a Binary Tree,Microsoft
Product of Array Except Self,Microsoft
Sliding Window Maximum,Microsoft
Search a 2D Matrix II,Microsoft
Valid Anagram,Microsoft
Shortest Word Distance,Microsoft
Meeting Rooms,Microsoft
Meeting Rooms II,Microsoft
Palindrome Permutation,Microsoft
Missing Number,Microsoft
Alien Dictionary,Microsoft
Closest Binary Search Tree Value,Microsoft
Encode and Decode Strings,Microsoft
Integer to English Words,Microsoft
Find the Celebrity,Microsoft
First Bad Version,Microsoft
Perfect Squares,Microsoft
Expression Add Operators,Microsoft
Move Zeroes,Microsoft
Peeking Iterator,Microsoft
Inorder Successor in BST,Microsoft
Walls and Gates,Microsoft
Find the Duplicate Number,Microsoft
Word Pattern,Microsoft
Find Median from Data Stream,Microsoft
Serialize and Deserialize Binary Tree,Microsoft
Bulls and Cows,Microsoft
Longest Increasing Subsequence,Microsoft
Range Sum Query - Immutable,Microsoft
Sparse Matrix Multiplication,Microsoft
Binary Tree Vertical Order Traversal,Microsoft
Count of Smaller Numbers After Self,Microsoft
Shortest Distance from All Buildings,Microsoft
Coin Change,Microsoft
Odd Even Linked List,Microsoft
Longest Increasing Path in a Matrix,Microsoft
Reconstruct Itinerary,Microsoft
Longest Substring with At Most K Distinct Characters,Microsoft
Flatten Nested List Iterator,Microsoft
Reverse String,Microsoft
Moving Average from Data Stream,Microsoft
Top K Frequent Elements,Microsoft
Design Tic-Tac-Toe,Microsoft
Intersection of Two Arrays,Microsoft
Intersection of Two Arrays II,Microsoft
Rearrange String k Distance Apart,Microsoft
Design Hit Counter,Microsoft
Kth Smallest Element in a Sorted Matrix,Microsoft
Insert Delete GetRandom O(1),Microsoft
Insert Delete GetRandom O(1) - Duplicates allowed,Microsoft
Ransom Note,Microsoft
Shuffle an Array,Microsoft
First Unique Character in a String,Microsoft
UTF-8 Validation,Microsoft
Decode String,Microsoft
Evaluate Division,Microsoft
Remove K Digits,Microsoft
Frog Jump,Microsoft
Queue Reconstruction by Height,Microsoft
Fizz Buzz,Microsoft
Add Strings,Microsoft
Pacific Atlantic Water Flow,Microsoft
Battleships in a Board,Microsoft
Convert Binary Search Tree to Sorted Doubly Linked List,Microsoft
Serialize and Deserialize N-ary Tree,Microsoft
Flatten a Multilevel Doubly Linked List,Microsoft
All O`one Data Structure,Microsoft
Path Sum III,Microsoft
Find All Anagrams in a String,Microsoft
Find All Duplicates in an Array,Microsoft
String Compression,Microsoft
Add Two Numbers II,Microsoft
Find All Numbers Disappeared in an Array,Microsoft
Serialize and Deserialize BST,Microsoft
Delete Node in a BST,Microsoft
Circular Array Loop,Microsoft
LFU Cache,Microsoft
Island Perimeter,Microsoft
Validate IP Address,Microsoft
Implement Rand10() Using Rand7(),Microsoft
Concatenated Words,Microsoft
The Maze,Microsoft
Target Sum,Microsoft
Fibonacci Number,Microsoft
Inorder Successor in BST II,Microsoft
Find Largest Value in Each Tree Row,Microsoft
Longest Palindromic Subsequence,Microsoft
Coin Change 2,Microsoft
Continuous Subarray Sum,Microsoft
Random Pick with Weight,Microsoft
